entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
,Fort Lauderdale,33315,,West Park Drive,Florida,"Fort Lauderdale, FL 33315, United States of America",-80.14524302418418,26.0985549
The Fort Lauderdale Antique Car Museum,Fort Lauderdale,33315,,Southwest 1st Avenue,Florida,"Southwest 1st Avenue, Fort Lauderdale, FL 33315, United States of America",-80.14350363914207,26.10222325
Coral Castle Museum,Naranja,33033,28655,South Dixie Highway,Florida,"28655 South Dixie Highway, Naranja, FL 33033, United States of America",-80.4441771424768,25.500724750000003
Paragon Ridge 8,,33324,,FL 84,Florida,"FL 84, Davie, FL 33324, United States of America",-80.2727186207369,26.10355965
Gator Park,,,,Gator Park,Florida,"Miami-Dade County, FL, United States of America",-80.5811992,25.7606874
Savor Cinema Fort Lauderdale,Fort Lauderdale,33301,503,Southeast 6th Street,Florida,"503 Southeast 6th Street, Fort Lauderdale, FL 33301, United States of America",-80.13824754669594,26.11512025
Regal Broward Stadium 12,,33388,8000,Federated Road,Florida,"8000 Federated Road, Plantation, FL 33388, United States of America",-80.25409254858661,26.11623475
,Fort Lauderdale,33301,,Southeast 6th Avenue,Florida,"Fort Lauderdale, FL 33301, United States of America",-80.13744806985846,26.11843435
Historic Stranahan House Museum,Fort Lauderdale,33301,335,Southeast 6th Avenue,Florida,"335 Southeast 6th Avenue, Fort Lauderdale, FL 33301, United States of America",-80.1374468,26.1184358
NSU Art Museum Fort Lauderdale,Fort Lauderdale,33301,,East Las Olas Boulevard,Florida,"East Las Olas Boulevard, Fort Lauderdale, FL 33301, United States of America",-80.14265569197002,26.119565700000003
Museum of Discovery and Science,Fort Lauderdale,33312,,Himmarshee Street,Florida,"Himmarshee Street, Fort Lauderdale, FL 33312, United States of America",-80.14793230681919,26.12110825
Autonation IMAX,Fort Lauderdale,33312,,Himmarshee Street,Florida,"Himmarshee Street, Fort Lauderdale, FL 33312, United States of America",-80.1477059,26.1207951
Young At Art,,33324,8000,West Broward Boulevard,Florida,"8000 West Broward Boulevard, Plantation, FL 33324, United States of America",-80.2547065,26.1187108
Vineyards Clubhouse,Homestead,33033,,Southeast 37th Avenue,Florida,"Southeast 37th Avenue, Homestead, FL 33033, United States of America",-80.42266514389763,25.4665034
International Swimming Hall of Fame,Fort Lauderdale,33316,,Southeast 5th Street,Florida,"Southeast 5th Street, Fort Lauderdale, FL 33316, United States of America",-80.1076800375607,26.11626215
,Broward Estates,33311,,Northwest 35th Avenue,Florida,"Broward Estates, FL 33311, United States of America",-80.19519671643161,26.126978649999998
Ikeda Hall,Southwest Ranches,33328,,Griffin Road,Florida,"Griffin Road, Southwest Ranches, FL 33328, United States of America",-80.41701602226074,26.06560295
Old Dillard Museum,Fort Lauderdale,33311,1009,Northwest 4th Street,Florida,"1009 Northwest 4th Street, Fort Lauderdale, FL 33311, United States of America",-80.15507145604472,26.1261905
Schacknow Museum of Fine Arts,Plantation Gardens,33317,,Northwest 4th Street,Florida,"Northwest 4th Street, Plantation Gardens, FL 33317, United States of America",-80.242593,26.125407
Flagship Cinemas,Homestead,33033,2250,Northeast 8th Street,Florida,"2250 Northeast 8th Street, Homestead, FL 33033, United States of America",-80.44565080033966,25.475147749999998
Amphitheater,Weston,33332,,Southwest 36th Street / Manatee Isles Drive,Florida,"Southwest 36th Street / Manatee Isles Drive, Weston, FL 33332, United States of America",-80.41486910290902,26.070377299999997
City of Plantation Historical Museum,,33317,511,North Fig Tree Lane,Florida,"511 North Fig Tree Lane, Plantation Park, FL 33317, United States of America",-80.22982444141405,26.12883295
Friendship Auditorium,Weston,33332,,Southwest 36th Street,Florida,"Southwest 36th Street, Weston, FL 33332, United States of America",-80.41692766194248,26.0694033
City of Plantation Historical Museum,,33317,511,North Fig Tree Lane,Florida,"511 North Fig Tree Lane, Plantation Park, FL 33317, United States of America",-80.2298404,26.128892
America Mentor and Disciple Hall,Weston,33332,,Southwest 36th Street / Manatee Isles Drive,Florida,"Southwest 36th Street / Manatee Isles Drive, Weston, FL 33332, United States of America",-80.41589354877425,26.0701952
Escapology,Fort Lauderdale,33316,,Cortez Street,Florida,"Cortez Street, Fort Lauderdale, FL 33316, United States of America",-80.1048829,26.1224247
Fine Arts Theater,,33325,12200,West Broward Boulevard,Florida,"12200 West Broward Boulevard, Plantation, FL 33325, United States of America",-80.30883735772743,26.1196615
Madeline Denaro Studio and Gallery,Fort Lauderdale,33304,,Northeast 3rd Avenue,Florida,"Northeast 3rd Avenue, Fort Lauderdale, FL 33304, United States of America",-80.141133,26.1321176
Black Box Theater,,33325,,West Broward Boulevard,Florida,"West Broward Boulevard, Plantation, FL 33325, United States of America",-80.3088501,26.119924400000002
Ernesto Maranje Art & Design,Fort Lauderdale,33394,,North Flagler Drive,Florida,"North Flagler Drive, Fort Lauderdale, FL 33394, United States of America",-80.1422691,26.1325087
,Sunrise,33326,,East Wind Circle,Florida,"Sunrise, FL 33326, United States of America",-80.3610212477547,26.1046027
The Art Bloc,Fort Lauderdale,33394,,Northeast 4th Avenue,Florida,"Northeast 4th Avenue, Fort Lauderdale, FL 33394, United States of America",-80.1402396,26.1337464
War Memorial Auditorium,Fort Lauderdale,33304,,G Martin Harold Drive,Florida,"G Martin Harold Drive, Fort Lauderdale, FL 33304, United States of America",-80.1340777586623,26.13354235
AMC Weston 8,Sunrise,33326,,Southwest 160th Avenue,Florida,"Southwest 160th Avenue, Sunrise, FL 33326, United States of America",-80.3612297,26.1046187
Parker Playhouse,Fort Lauderdale,33304,,Northeast 7th Avenue,Florida,"Northeast 7th Avenue, Fort Lauderdale, FL 33304, United States of America",-80.13618660654184,26.1343283
Thunderbird Drive-in,,33311,3291,West Sunrise Boulevard,Florida,"3291 West Sunrise Boulevard, Lauderhill, FL 33311, United States of America",-80.1898952,26.1373808
MAC Art Galleries,Fort Lauderdale,33304,833,Northeast 4th Avenue,Florida,"833 Northeast 4th Avenue, Fort Lauderdale, FL 33304, United States of America",-80.1402162,26.1345388
Outdoor Amphitheater,Weston,33326,,Royal Palm Boulevard,Florida,"Royal Palm Boulevard, Weston, FL 33326, United States of America",-80.3830937,26.0960611
Lauderhill Performing Arts Center,,33313,,State Road 7,Florida,"State Road 7, Lauderhill, FL 33313, United States of America",-80.20028699864565,26.1388435
ArtServe Gallery,Fort Lauderdale,33304,1350,East Sunrise Boulevard,Florida,"1350 East Sunrise Boulevard, Fort Lauderdale, FL 33304, United States of America",-80.1302782,26.1367346
The Classic Gateway Theater,Fort Lauderdale,33304,1820,East Sunrise Boulevard,Florida,"1820 East Sunrise Boulevard, Fort Lauderdale, FL 33304, United States of America",-80.12135075451195,26.136815249999998
ArtSouth Sanctuary,Homestead,33030,240,Northwest 3rd Street,Florida,"240 Northwest 3rd Street, Homestead, FL 33030, United States of America",-80.477697,25.4724013
Historic Town Hall,Homestead,33030,41,Southwest 177th Avenue,Florida,"41 Southwest 177th Avenue, Homestead, FL 33030, United States of America",-80.4772172,25.4705858
Seminole Theater,Homestead,33030,18,Southwest 177th Avenue,Florida,"18 Southwest 177th Avenue, Homestead, FL 33030, United States of America",-80.4775532,25.4702522
Everglades Safari Park,,,,Southwest 8th Street,Florida,"Southwest 8th Street, Miami-Dade County, FL, United States of America",-80.62848997900562,25.75639185
Claudia Castillo Art Studio,,33305,,Wilton Drive,Florida,"Wilton Drive, Wilton Manors, FL 33305, United States of America",-80.1384473,26.1565629
Florida Pioneer Museum,Florida City,33034,826,Southwest 177th Avenue,Florida,"826 Southwest 177th Avenue, Florida City, FL 33034, United States of America",-80.4780618,25.45715455
