Hotel Name,city,postcode,housenumber,street,state,address2,longitude,latitude
Casa Trinidad at #1,Miami,33129,,Southwest 14th Avenue,Florida,"Southwest 14th Avenue, Miami, FL 33129, United States of America",-80.2185834,25.7646813
Barlington Hotel,Miami,33128,,Northwest 2nd Street,Florida,"Northwest 2nd Street, Miami, FL 33128, United States of America",-80.21728912216608,25.7750355
Hilton Miami Downtown,Miami,33132,1601,Biscayne Boulevard,Florida,"1601 Biscayne Boulevard, Miami, FL 33132, United States of America",-80.18825049538935,25.791070599999998
Miami Marriott Biscayne Bay,Miami,33132,1633,North Bayshore Drive,Florida,"1633 North Bayshore Drive, Miami, FL 33132, United States of America",-80.18599749065513,25.7908605
SpringHill Suites,Miami,33136,,Dolphin Expressway,Florida,"Dolphin Expressway, Miami, FL 33136, United States of America",-80.21032687105833,25.787171999999998
Doubletree by Hilton Grand Hotel Biscayne Bay,Miami,33132,,North Bayshore Drive,Florida,"North Bayshore Drive, Miami, FL 33132, United States of America",-80.1862353396111,25.7915759
SpringHill Suites by Marriott Miami Downtown/Medical Center,Miami,33136,,Dolphin Expressway,Florida,"Dolphin Expressway, Miami, FL 33136, United States of America",-80.21026938301029,25.78694965
Opera Suites & Marina,Miami,33132,,North Bayshore Drive,Florida,"North Bayshore Drive, Miami, FL 33132, United States of America",-80.18711713468934,25.7924146
,Miami,33132,144,Northeast 20th Street,Florida,"Miami, FL 33132, United States of America",-80.1920242,25.7960142
Claude Pepper Tower,Miami,33136,750,Northwest 18th Street,Florida,"750 Northwest 18th Street, Miami, FL 33136, United States of America",-80.2082289,25.7926922
,Miami,33136,,Northwest 18th Terrace,Florida,"Miami, FL 33136, United States of America",-80.2082367,25.7928318
Claude Pepper,Miami,33136,750,Northwest 18th Terrace,Florida,"750 Northwest 18th Terrace, Miami, FL 33136, United States of America",-80.2081551,25.7929167
Claude Pepper,Miami,33136,750,Northwest 18th Terrace,Florida,"750 Northwest 18th Terrace, Miami, FL 33136, United States of America",-80.2082598,25.792971
