name,city,postcode,street,address2,Transport_Type,Transport,Route,longitude,latitude
Northwest 9th Street & Northwest 2nd Court,Miami,33136,Northwest 9th Street,"Northwest 9th Street, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 9th St & NW 2nd Ct,-80.1987643,25.7827267
Vizcaya Station,Miami,33129,M-Path,"M-Path, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,Vizcaya Station,-80.212169,25.7496889
Southwest 22nd Street & Southwest 32nd Road,Miami,33129,Southwest 22nd Street,"Southwest 22nd Street, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,SW 22nd Av & SW 32nd Av,-80.2130733,25.7510319
Northwest 6th Street & Northwest 7th Avenue,Miami,33136,Northwest 6th Street,"Northwest 6th Street, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 6th St & NW 7th Av,-80.2059812,25.7796309
Vizcaya Station,Miami,33129,M-Path,"M-Path, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,Vizcaya Station,-80.2123632,25.7496186
Northeast 1st Avenue & Northeast 10th Street,Miami,33132,Northeast 1st Avenue,"Northeast 1st Avenue, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NE 1st Av & NE 10th St,-80.1921969,25.7840569
Vizcaya Station,Miami,33129,M-Path,"M-Path, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,Vizcaya Station,-80.2125345,25.7495567
Northwest 4th Street & Northwest 9th Avenue,Miami,33125,Northwest 4th Street,"Northwest 4th Street, Miami, FL 33125, United States of America",Miami-Dade Transit,bus_stop,NW 4th St & NW 9th Av,-80.2093095,25.7776376
Vizcaya Station,Miami,33129,M-Path,"M-Path, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,Vizcaya Station,-80.2127217,25.749489
Southwest 1st Street & Southwest 12th Avenue,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 12th Av,-80.2136943,25.7724748
Northwest 4th Street & Northwest 9th Avenue,Miami,33125,Northwest 4th Street,"Northwest 4th Street, Miami, FL 33125, United States of America",Miami-Dade Transit,bus_stop,NW 4th St & NW 9th Av,-80.2097601,25.7774822
Northwest 2nd Avenue & Northwest 10th Street,Miami,33136,Northwest 10th Street,"Northwest 10th Street, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 2nd Av & NW 10th St,-80.19816,25.7837573
Northwest 3rd Avenue & Northwest 10th Street,Miami,33127,Northwest 3rd Avenue,"Northwest 3rd Avenue, Miami, FL 33127, United States of America",Miami-Dade Transit,bus_stop,NW 3rd Av & NW 10th St,-80.1997929,25.7834407
Biscayne Boulevard & Northeast 11th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 11th St,-80.1896111,25.7845457
Northwest 2nd Avenue & Northwest 10th Street,Miami,33136,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 2nd Av & NW 10th St,-80.1980059,25.7839331
Rickenbacker Causeway & 3301 Block Rickenbacker Fish Company,Miami,33131,Rickenbacker Trail,"Rickenbacker Trail, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,Rickenbacker Cy & 3301 Blk,-80.174891,25.7445971
Biscayne Boulevard & Northeast 11th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 11th St,-80.1891721,25.7845662
Rickenbacker Causeway & 3301 Block Rickenbacker Fish Company,Miami,33131,Rickenbacker Causeway,"Rickenbacker Causeway, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,Rickenbacker Cy & 3301 Blk,-80.1741611,25.7445149
West Flagler Street & West 12th Avenue,Miami,33128,West Flagler Street,"West Flagler Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & W 12th Av,-80.2144285,25.7736063
Northwest 4th Street & Northwest 10th Avenue,Miami,33125,Northwest 4th Street,"Northwest 4th Street, Miami, FL 33125, United States of America",Miami-Dade Transit,bus_stop,NW 4th St & NW 10th Av,-80.2113172,25.7775613
Southwest 8th Street & Southwest 13th Court,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 13th Ct,-80.2176834,25.7656966
Northwest 10th Avenue & Northwest 4th Street,Miami,33128,Northwest 10th Avenue,"Northwest 10th Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 10th Av & NW 4th St,-80.2116276,25.7776563
Northwest 3rd Avenue & Northwest 11th Street,Miami,33136,Northwest 3rd Avenue,"Northwest 3rd Avenue, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 3rd Av & NW 11th St,-80.1997094,25.7847705
Northwest 3rd Avenue & Northwest 11th Street,Miami,33136,Northwest 3rd Avenue,"Northwest 3rd Avenue, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 3rd Av & NW 11th St,-80.199845,25.7847645
Southwest 1st Street & Southwest 13th Avenue,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 13th Av,-80.2160593,25.7724182
Southwest 13th Avenue & Southwest 22nd Street,Miami,33145,Southwest 13th Avenue,"Southwest 13th Avenue, Miami, FL 33145, United States of America",Miami-Dade Transit,bus_stop,SW 13th Av & SW 22nd St,-80.216084,25.750719
Northwest 10th Avenue & Northwest 5th Street,Miami,33128,Northwest 10th Avenue,"Northwest 10th Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 10th Av & NW 5th St,-80.2115188,25.7786547
Northwest 10th Avenue & Northwest 5th Street,Miami,33128,Northwest 10th Avenue,"Northwest 10th Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 10th Av & NW 5th St,-80.2116534,25.7785578
Northwest 1st Place & Northwest 12th Street,Miami,33136,Northwest 1st Place,"Northwest 1st Place, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 1st Pl & NW 12th St,-80.1979657,25.7857361
Southwest 22nd Street & Southwest 13th Avenue,Miami,33129,Southwest 22nd Street,"Southwest 22nd Street, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,SW 22nd Av & SW 13th Av,-80.2165707,25.7511456
Southwest 22nd Street & Southwest 13th Avenue,Miami,33129,Southwest 22nd Street,"Southwest 22nd Street, Miami, FL 33129, United States of America",Miami-Dade Transit,bus_stop,SW 22nd Av & SW 13th Av,-80.216448,25.750893
Biscayne Boulevard & Northeast 13th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 13th St,-80.1892217,25.7866417
Southwest 8th Street & Southwest 15th Avenue,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 15th Av,-80.2193835,25.7656455
West Flagler Street & Northwest 13th Avenue,Miami,33128,West Flagler Street,"West Flagler Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 13th Av,-80.2165969,25.7735351
Northwest 1st Place & Northwest 13th Street,Miami,33136,Northwest 1st Place,"Northwest 1st Place, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 1st Pl & NW 13th St,-80.1978654,25.7866876
Northeast 13th Street & North Bayshore Drive,Miami,33132,MacArthur Causeway Path,"MacArthur Causeway Path, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NE 13th St & N Bayshore Dr,-80.187652,25.7871461
Northwest 3rd Avenue & Northwest 13th Street,Miami,33136,Northwest 3rd Avenue,"Northwest 3rd Avenue, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 3rd Av & NW 13th St,-80.1999439,25.7864866
Southwest 1st Street & Southwest 14th Avenue,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 14th Av,-80.217831,25.7723648
Northwest 3rd Avenue & Northwest 13th Street,Miami,33136,Northwest 3rd Avenue,"Northwest 3rd Avenue, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 3rd Av & NW 13th St,-80.1997937,25.786557
Biscayne Boulevard & Northeast 13th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 13th St,-80.1890246,25.7874855
Northwest 1st Place & Northwest 13th Street,Miami,33136,Northwest 1st Place,"Northwest 1st Place, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 1st Pl & NW 13th St,-80.1980154,25.7870703
Northwest 7th Street & Northwest 10th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 10th Av,-80.2120183,25.7802609
Northwest 7th Street & Northwest 10th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 10th Av,-80.2120543,25.7804052
Southwest 7th Street & Southwest 16th Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 16th Av,-80.2209373,25.7666054
Northwest 3rd Avenue & Northwest 14th Street,Miami,33136,Northwest 3rd Avenue,"Northwest 3rd Avenue, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 3rd Av & NW 14th St,-80.1999824,25.7876529
Rickenbacker Causeway & Marine Stadium,Miami,33131,Rickenbacker Causeway,"Rickenbacker Causeway, Miami, FL 33131, United States of America",Miami-Dade Transit,bus_stop,Rickenbacker Cy & Marine Stadium,-80.1713498,25.7419848
Southwest 1st Street & Southwest 15th Avenue,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 15th Av,-80.2194511,25.7723142
Northwest 7th Street & Northwest 12th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 12th Av,-80.2139697,25.7801767
MacArthur Causeway & Watson Island,Miami,33132,Parrot Jungle Trail,"Parrot Jungle Trail, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,MacArthur Cy & Watson Island,-80.17587,25.7849291
MacArthur Causeway & Watson Island,Miami,33132,Parrot Jungle Trail,"Parrot Jungle Trail, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,MacArthur Cy & Watson Island,-80.1747398,25.7845058
West Flagler Street & Northwest 15th Avenue,Miami,33128,West Flagler Street,"West Flagler Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 15th Av,-80.2193276,25.773453
Northwest 7th Street & Northwest 12th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 12th Av,-80.2142893,25.7803397
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1887128,25.7892412
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1884955,25.7892509
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1885773,25.7892787
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1882783,25.7892545
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.188344,25.7892835
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1880597,25.7892618
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1881321,25.7892907
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1878384,25.7892678
Omni Terminal / Arsht Metromover,Miami,33132,Northeast 14th Terrace,"Northeast 14th Terrace, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1879027,25.7892956
Omni Terminal / Arsht Metromover,Miami,33132,North Bayshore Drive,"North Bayshore Drive, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Omni Terminal,-80.1876721,25.7893004
Southwest 8th Street & Southwest 17th Avenue,Miami,33130,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 17th Av,-80.2222808,25.76556
Southwest 7th Street & Southwest 17th Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 17th Av,-80.2222324,25.7665658
Northwest 7th Street & Northwest 13th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 13th Av,-80.2166628,25.7800861
Southwest 22nd Street & Southwest 17th Avenue,Miami,33145,Southwest 22nd Street,"Southwest 22nd Street, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 22nd Av & SW 17th Av,-80.2215959,25.7507702
Northwest 7th Street & Northwest 13th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 13th Av,-80.2167632,25.780254
Southwest 1st Street & Southwest 17th Avenue,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 17th Av,-80.2221312,25.7722135
MacArthur Causeway & Fountain Street,Miami,33139,MacArthur Causeway,"MacArthur Causeway, Miami, FL 33139, United States of America",Miami-Dade Transit,bus_stop,MacArthur Cy & Fountain St,-80.164412,25.7775089
West Flagler Street & Northwest 16th Avenue,Miami,33135,West Flagler Street,"West Flagler Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 16th Av,-80.2216098,25.7733775
Southwest 22nd Street & Southwest 17th Avenue,Miami,33145,Southwest 22nd Street,"Southwest 22nd Street, Miami, FL 33145, United States of America",City of Miami;Miami-Dade Transit,bus_stop,SW 22nd Av & SW 17th Av,-80.2222763,25.7509842
MacArthur Causeway & Fountain Street,Miami Beach,33139,MacArthur Causeway,"MacArthur Causeway, Miami Beach, FL 33139, United States of America",Miami-Dade Transit,bus_stop,MacArthur Cy & Fountain St,-80.1644341,25.7779454
Southwest 8th Street & Southwest 18th Avenue,Miami,33135,Southwest 8th Street,"Southwest 8th Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 8th St & SW 18th Av,-80.224332,25.7655056
Northwest 7th Street & Northwest 14th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 14th Av,-80.2178358,25.7800389
Northwest 7th Street & Northwest 14th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 14th Av,-80.2183368,25.7802193
West Flagler Street & Northwest 17th Court,Miami,33135,West Flagler Street,"West Flagler Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 17th Ct,-80.2234958,25.7729436
Southwest 1st Street & Southwest 18th Avenue,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 18th Av,-80.2244976,25.7717998
Northwest 7th Street & Northwest 15th Avenue,Miami,33128,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 15th Av,-80.2197265,25.7801651
Southwest 7th Street & Southwest 19th Avenue,Miami,33135,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 19th Av,-80.2263201,25.7665049
West Flagler Street & Northwest 18th Avenue,Miami,33135,West Flagler Street,"West Flagler Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,W Flagler St & NW 18th Av,-80.2250082,25.7728064
Southwest 1st Street & Southwest 18th Court,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 18th Ct,-80.2258337,25.771597
Northwest 7th Street & Northwest 16th Avenue,Miami,33125,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33125, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 16th Av,-80.221431,25.780111
Northwest 7th Street & Northwest 16th Avenue,Miami,33125,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33125, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 16th Av,-80.2216999,25.7799236
Northwest 7th Street & Northwest 17th Court,Miami,33125,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33125, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 17th Ct,-80.2231738,25.7800548
Northwest 7th Street & Northwest 17th Court,Miami,33125,Northwest 7th Street,"Northwest 7th Street, Miami, FL 33125, United States of America",Miami-Dade Transit,bus_stop,NW 7th St & NW 17th Ct,-80.2234312,25.7798689
